09/17/19,Dad’s Coffee Grinder,$4.50
09/20/19,Dollar General,$1.36
09/21/19,Walmart,$5.65
09/22/19,Lowe’s,$3.56
09/23/19,10Box,$1.31
09/25/19,Dollar General,$0.84		
10/01/19,Lenard’s,$0.25
10/02/19,Dollar General,$0.30
10/04/19,GoDaddy,$18.00
10/06/19,Cic’s Pizza,$0.75
10/09/19,Dollar General,$2.27
10/10/19,Dollar General,$0.38
10/11/19,Walmart,$6.28
